ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
356	0,37,0,0,0,0,0,0,0,0,0,0,0	0,133,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,10,0,0	251	150
363	0,0,0,0,0,0,0,0,6,0,287,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,153,0,0,0	0,0,0,0,0,0,0,0,5,0	295	150
396	0,0,0,0,0,0,0,0,0,0,319,0,0	3,60,0,0,0,0,0,0,34,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	187	150
406	0,0,0,0,0,0,0,0,0,0,185,2,0	3,60,0,0,0,0,0,0,34,0,0,0,0	0,0,0,0,0,0,0,0,0,18	0,1,0,0,0,0,0,0,0,0	300	150
408	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	300	150
409	0,0,0,0,0,0,0,0,0,0,185,2,0	3,60,0,0,0,0,0,0,34,0,0,0,0	0,0,0,0,0,3,0,0,0,18	0,1,0,0,0,0,0,0,0,0	299	150
410	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	299	150
412	0,0,0,0,0,0,0,0,0,0,184,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0	237	150
414	0,0,0,0,0,0,0,0,0,0,19,0,0	0,43,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	85,0,0,0,0,0,0,0,0,0	300	150
433	0,26,0,2,8,0,0,0,0,0,0,1,0	0,3,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	300	150
