ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
113	0,57,0,0,0,0,0,0,0,0,0,0,0	0,72,0,0,0,0,0,12,13,0,2,0,0	0,0,0,0,0,0,0,0,0,11	326,0,0,0,0,36,51,0,0,0	193	313
114	0,4,422,0,0,0,0,207,0,0,0,0,0	0,14,64,0,0,0,0,1,0,0,0,0,0	154,0,0,0,0,0,0,0,0,0	0,0,0,0,0,38,1,0,0,0	313	228
115	0,0,0,0,0,0,0,0,0,0,0,3,0	0,0,0,0,0,0,0,0,0,0,291,0,0	0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	326	600
119	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,245,0,0,0,0,0,32,0	0,0,0,0,0,0,178,0,0,0	0,0,0,0,0,13,0,0,0,0	565	241
126	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,137,0,0,0,1,441,0,0	531,0,0,0,0,0,0,0,0,0	378,1,0,0,0,0,1,0,1,0	259	290
128	0,131,0,0,0,0,0,0,0,0,157,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	203	207
154	0,82,316,0,0,0,0,0,0,0,380,0,0	62,600,0,60,79,199,0,50,30,294,1909,467,2	2,0,0,0,0,0,206,0,0,0	646,1449,0,1,3,269,549,3,1013,64	312	1933
156	0,0,0,0,0,2,0,0,0,190,0,0,0	0,18,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,44,0,0,0,0	203	318
157	0,0,0,0,0,0,0,654,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0	262	203
160	0,99,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,12,0,0	0,0,0,0,0,0,0,133,0,0	295	296
161	0,99,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,133,0,0	276	296
164	27,0,0,0,0,0,0,0,0,0,0,0,0	0,6,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,10,0,0,0,0	254	209
166	0,0,0,0,0,0,0,0,0,0,0,0,0	5,0,0,0,0,0,0,1,42,0,0,0,0	0,0,0,0,0,23,0,0,239,0	0,0,0,0,0,0,0,0,65,0	219	318
168	0,0,0,0,0,0,0,0,0,0,0,0,0	0,59,12,69,0,0,0,0,14,0,0,131,0	0,0,0,0,0,0,27,0,0,0	0,0,0,0,0,0,0,0,0,1	186	271
169	0,95,12,0,0,0,0,0,0,0,0,131,0	0,31,0,0,0,13,0,27,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0	106,0,0,0,0,13,20,0,0,0	244	513
170	2,0,0,0,0,0,0,124,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0	1,0,0,0,0,0,0,0,0,0	373	314
180	0,56,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,78,0,0,0,0	186	269
184	78,0,0,0,0,0,0,0,0,0,0,0,0	0,58,176,0,8,0,0,0,0,0,411,2,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,22,0,0,0,0	273	316
189	14,0,0,0,0,0,0,73,0,50,0,29,0	0,36,0,0,0,0,0,0,0,0,0,21,0	244,0,0,0,0,35,39,0,0,0	345,0,0,0,0,0,0,0,0,0	286	241
190	0,0,0,0,0,0,0,0,0,0,0,0,0	0,61,0,0,0,0,0,0,5,0,200,141,0	0,0,0,0,0,13,0,0,0,0	0,662,0,0,0,53,1,0,248,0	279	279
208	0,39,0,0,1,9,0,0,0,0,0,0,0	0,165,0,0,0,7,0,0,0,0,0,0,0	1,0,0,0,0,12,67,0,0,0	0,0,0,0,0,64,206,0,0,0	306	294
210	0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0,15,0,0	0,189,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	241	238
214	0,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,4,18,0,1,0	0,0,0,0,0,0,11,0,0,0	515	285
215	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,6,0,0,0,0,0	0,0,0,0,0,0,0,99,0,0	0,0,0,0,0,0,0,0,0,0	374	304
217	4,0,0,0,0,0,0,0,0,0,52,0,0	0,0,0,0,0,0,0,0,1,0,522,0,0	0,0,0,0,0,6,0,0,0,204	0,0,0,0,0,43,235,0,59,0	240	366
225	0,87,0,0,1,0,0,0,2,0,0,0,558	0,62,0,0,0,36,0,0,35,0,0,0,0	0,0,0,0,0,0,0,4,0,0	0,0,0,0,0,0,0,0,0,24	275	274
229	0,2,0,0,0,0,0,0,19,0,0,0,0	0,29,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,66,0,0,0	0,0,0,0,0,0,0,0,0,0	235	330
233	0,81,0,0,0,0,0,0,0,0,0,0,172	0,1,927,0,0,2,0,0,56,0,0,0,0	0,0,0,0,0,0,0,0,0,0	116,0,0,0,0,12,0,0,0,0	462	441
258	0,31,0,0,0,0,0,0,0,0,0,0,0	10,59,0,91,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,10,20,0,0,0	212	269
260	0,117,0,0,0,0,0,0,29,0,1,0,0	0,2,0,0,0,0,0,0,25,0,0,0,0	318,4,0,0,0,0,0,176,31,0	0,0,0,0,0,2,379,0,241,0	326	317
267	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,165,0,0	0,0,0,0,0,3,6,0,0,0	0,0,0,0,0,0,0,0,0,0	312	270
268	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,20,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,0,0,0	0,0,0,0,0,147,0,0,0,0	183	269
277	0,22,0,0,0,0,0,4,7,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0	226	280
280	0,26,0,0,0,0,0,51,0,0,0,0,0	0,9,0,0,0,0,0,0,0,0,0,0,0	0,15,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	472	275
284	0,83,0,0,0,0,0,284,0,0,0,0,0	31,93,0,0,197,120,0,0,0,0,1,0,0	288,0,0,0,2,38,0,0,222,0	0,0,0,0,0,75,0,0,0,0	390	267
289	0,0,0,0,0,0,0,0,0,0,2,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,32,0,0,0,0	271	467
293	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,150,0,0	0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0	234	296
312	0,0,0,0,0,0,0,0,0,0,10,0,0	0,0,0,0,0,0,0,254,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,98,43,0,0	242	258
316	0,34,0,0,0,0,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,24,623,0,0,0	0,0,0,0,0,0,194,0,0,0	0,0,0,0,0,0,0,102,0,0	317	219
334	0,0,0,0,0,0,0,0,0,41,0,0,0	0,12,0,0,0,0,0,0,4,0,0,0,0	0,0,0,0,0,0,132,0,0,0	445,0,0,0,0,0,0,0,0,0	206	354
350	3,1,0,178,0,0,0,0,0,0,0,2,0	0,209,353,248,0,184,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,72,0,0,81,190	246	322
356	0,0,361,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,386,0	262	214
357	0,5,361,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,14,0,0,0	479	291
371	0,56,0,0,0,0,0,0,4,0,0,0,0	0,0,0,83,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,11,0,0,0,0,0	263	336
375	1,127,0,0,0,0,0,0,1,0,472,6,1	0,0,0,0,0,253,0,0,0,0,19,0,0	0,0,0,0,0,47,148,106,1,0	0,0,0,0,0,0,179,58,2,155	277	320
377	76,192,806,0,51,249,0,1,75,0,193,12,0	0,111,8,0,123,1,0,4,68,0,0,0,0	16,290,0,0,0,97,607,30,6,0	0,180,0,0,22,1,291,28,148,6	316	247
378	0,45,0,0,0,0,0,0,0,0,0,0,0	0,54,0,0,0,10,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,85	0,0,0,0,0,28,0,0,0,0	238	237
379	0,0,0,0,0,1,0,0,0,0,0,0,0	0,2,0,0,0,57,0,0,0,0,0,0,0	0,38,0,0,0,0,2,0,0,0	0,0,0,0,0,28,56,0,0,0	186	245
381	0,0,0,0,0,0,0,0,0,0,183,0,0	0,0,226,0,0,8,0,0,0,0,9,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,50,24,0,1	226	226
383	0,2,0,0,0,0,0,0,0,0,183,0,0	2,18,0,0,0,391,0,0,0,0,0,0,0	0,0,0,0,0,10,139,0,0,0	0,484,0,0,0,52,53,0,0,0	251	303
388	0,40,0,0,0,0,0,0,0,0,0,0,0	1,147,0,0,0,0,1,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,161,0,0,0,0,103,0,0,0	231	260
389	52,34,0,0,0,0,0,0,0,0,9,4,0	1,147,0,0,0,0,1,1,0,0,0,0,0	305,0,0,0,4,178,31,0,91,0	0,161,0,0,0,0,103,0,0,0	2113	260
394	0,16,0,0,0,0,0,0,0,0,0,0,0	0,64,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,6,9,0,0	0,0,0,0,0,56,0,7,0,0	242	206
405	0,0,0,0,0,0,0,0,0,0,0,0,0	0,46,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,59,175,0,0,0,0	0,0,0,0,0,4,0,0,0,0	289	234
407	0,18,0,49,0,0,0,0,0,2,0,1,0	0,296,220,0,0,84,0,0,19,0,826,1,0	0,0,0,0,0,0,0,9,0,0	1,1,0,0,0,60,1,3,0,0	255	297
422	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,1	42,0,0,0,0,0,5,0,0,0	0,0,0,0,0,0,0,0,0,0	261	320
