ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
303	27,0,0,0,0,0,0,0,0,0,0,0,0	0,9,0,0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,12,0,0,0,0	155	150
319	0,0,0,0,0,0,0,0,0,0,305,0,0	4,49,0,0,0,0,0,0,35,0,0,0,88	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,4,0,0,0,0	203	150
323	10,74,0,192,0,0,0,0,0,0,0,0,0	0,63,0,0,0,0,0,0,2,0,0,0,0	0,0,0,0,0,0,264,0,0,0	0,0,0,1,0,49,0,0,0,1	158	150
347	0,0,0,0,0,198,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,0,0,0	0,0,0,0,0,18,0,0,0,0	204	150
385	0,0,0,0,0,66,0,0,36,0,0,0,0	25,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,67,0,0,0	158	150
417	0,103,0,0,0,0,0,10,0,0,0,0,0	0,0,0,0,0,6,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,0	0,0,0,0,0,0,0,0,0,0	162	150
419	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,25,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	132,0,0,0,0,4,0,0,0,0	172	150
425	30,11,0,0,0,0,0,0,10,0,0,0,0	0,0,0,0,1,24,0,0,0,0,0,0,0	0,0,0,0,0,27,0,0,0,0	0,0,0,0,0,0,70,0,0,0	190	150
427	163,68,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,79,0,0,0	0,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,12,1,0,0	285	150
439	0,64,0,0,0,1,0,0,0,0,0,0,0	0,66,270,0,0,11,52,0,5,0,149,77,0	48,2,0,0,0,0,0,101,0,0	0,90,0,0,0,9,262,2,0,0	300	150
447	6,1,0,0,0,167,0,0,18,0,0,0,0	0,37,0,0,0,0,0,0,0,0,0,0,0	3,0,0,0,3,34,244,0,0,0	0,0,0,0,0,0,0,0,0,0	164	150
449	4,86,0,0,0,0,0,0,12,0,58,0,0	0,0,0,0,0,0,0,0,10,0,16,0,0	0,0,0,0,0,111,79,0,59,0	2,0,0,0,0,1,0,0,133,0	300	150
455	0,0,0,0,0,0,0,0,0,0,264,183,0	0,10,61,241,0,0,0,0,24,0,0,0,0	0,9,0,0,0,65,41,0,0,0	134,0,0,0,0,2,1,0,0,0	153	150
461	8,0,0,0,0,0,0,0,0,0,0,0,0	47,0,0,0,0,0,0,0,3,0,0,176,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,26,10,46,0,0	300	150
495	0,0,0,0,0,0,0,0,0,0,0,0,0	0,114,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,82,0,0,0,0	0,0,0,0,0,16,5,0,0,0	300	150
503	0,46,0,78,2,9,0,6,0,0,12,0,0	0,0,0,0,0,0,0,0,22,0,0,0,0	0,0,0,0,0,65,3,0,0,0	0,0,0,0,0,3,0,0,0,0	199	150
504	45,23,0,0,0,13,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0,0,0,0	0,54,0,0,0,0,91,0,0,0	0,0,0,0,0,0,0,0,0,0	150	150
506	15,0,1,0,0,0,0,0,30,0,102,0,0	0,0,0,0,0,146,0,0,9,0,2,0,0	0,0,0,0,0,0,0,0,188,0	0,297,0,0,0,0,0,1,0,0	300	150
510	0,0,0,0,0,201,0,0,6,0,0,0,0	36,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,2,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	197	150
511	0,3,0,0,0,201,0,0,3,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,2,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2	197	150
513	0,0,0,0,0,0,0,0,0,0,458,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,28,0,0,0,0,1,0,0,0	286	150
530	0,18,0,0,0,80,0,0,0,0,0,324,0	0,0,0,0,0,0,0,0,2,1054,0,0,0	0,0,0,133,0,0,166,0,169,2	0,0,0,0,0,37,0,0,0,0	168	150
544	0,0,0,0,0,127,0,0,0,0,11,0,0	0,0,0,0,0,4,0,0,0,0,13,0,0	0,0,0,0,0,0,187,0,0,0	0,0,0,0,0,0,414,0,0,0	300	150
562	0,70,0,0,0,0,0,0,0,0,0,0,0	0,87,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,41,100,0	0,0,0,0,0,39,0,0,0,0	300	150
564	0,0,0,0,0,0,0,0,0,0,79,0,0	0,113,0,0,0,0,0,77,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	160	150
570	0,0,0,0,0,0,0,0,30,0,0,0,0	0,63,0,0,0,0,1,0,0,0,315,1,0	0,0,0,0,0,0,0,0,0,0	12,0,0,0,0,32,146,157,519,83	300	150
582	0,0,0,18,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,194,0,81,0,0,0,0	0,0,0,0,0,0,0,0,0,144	212	150
587	0,0,372,28,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,27,0,0,0,0	0,0,0,0,0,0,0,0,428,0	0,0,0,0,0,0,0,0,0,0	300	150
588	0,0,0,0,0,0,0,0,0,0,0,375,0	9,0,0,0,0,227,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,2,0,0,0,0,0	152	150
597	0,56,0,0,0,0,0,0,0,0,0,0,0	0,22,0,0,0,0,0,0,0,0,0,0,0	0,14,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0	300	150
603	0,0,0,0,0,0,0,0,0,0,0,0,0	0,101,0,0,259,66,0,0,20,0,0,332,0	0,0,0,0,118,0,88,0,0,0	0,0,0,0,42,70,636,0,184,62	233	150
609	0,103,0,0,0,392,1,0,0,0,0,0,0	0,34,0,0,0,0,0,0,5,0,0,0,0	366,29,0,0,0,3,296,0,0,4	0,0,0,0,0,65,0,0,0,0	200	150
614	112,503,18,508,0,635,0,1,73,5,191,577,65	24,0,0,0,0,0,0,0,0,0,0,0,0	449,443,0,0,21,335,382,4,146,258	0,0,0,0,0,0,47,0,0,0	215	150
616	0,0,0,22,0,0,0,0,0,0,0,432,0	0,0,0,0,0,0,0,0,0,0,0,1,0	1,391,0,0,0,43,419,0,129,0	0,0,0,0,0,0,0,0,0,0	270	150
625	0,0,0,0,0,0,0,0,0,0,0,6,0	0,131,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0	0,0,0,318,0,6,11,0,0,0	300	150
633	0,0,0,9,1,0,0,421,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	3,0,0,0,0,21,41,0,0,0	0,0,0,0,0,0,0,133,0,0	152	150
637	0,46,0,0,0,0,0,0,19,0,0,308,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,185,0,0,0,7,0,0,0,0	0,0,0,0,0,0,0,0,220,0	300	150
650	0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0	228	150
652	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,123,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,4,0,0	0,0,0,0,0,0,0,127,0,0	162	150
665	0,316,0,0,124,86,0,0,2,0,306,14,0	0,26,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,6,40,53,1,0	0,0,0,0,0,0,0,0,0,0	300	150
687	0,0,0,0,0,0,0,148,0,0,0,0,0	0,46,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,80,2,0,0,0	0,0,0,0,0,24,0,0,0,0	200	150
688	0,72,0,0,0,0,0,0,0,0,0,0,0	33,243,0,0,0,36,0,0,43,142,50,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,66,0,83,4,0,187,0	160	150
689	0,91,0,0,0,0,0,0,0,0,0,0,0	0,14,0,0,0,0,0,0,0,0,282,0,0	0,0,0,0,0,0,148,0,0,31	0,0,0,0,0,49,0,0,0,0	297	150
693	0,0,0,0,0,0,62,0,0,0,0,0,0	0,30,0,0,0,0,0,0,0,0,0,339,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,9,0,0,0,0	194	150
697	0,0,0,0,0,0,0,0,1,0,1,1,1	4,56,0,0,0,0,0,0,14,1,717,1,0	1,0,0,0,0,0,2,0,0,1	0,282,0,0,43,61,391,144,0,285	247	150
713	0,0,0,0,0,1,0,0,1,1,0,1,0	81,35,156,0,0,0,0,0,0,0,0,200,0	1,0,0,0,1,45,231,0,0,119	0,8,0,0,0,42,200,0,0,0	275	150
717	0,0,0,0,115,0,0,0,12,0,0,2,0	0,3,0,0,0,331,0,0,0,0,0,0,0	461,0,0,0,0,28,0,0,0,0	0,0,0,0,0,103,0,0,0,0	300	150
724	0,0,0,0,0,0,0,0,0,0,0,0,0	6,0,0,0,99,13,0,0,4,0,0,21,0	0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,37,0,0,0,0	153	150
725	0,0,410,0,3,0,0,21,4,0,2,29,2	27,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,2,0,99,19,0,0	0,0,0,0,0,0,0,0,0,0	251	150
726	0,0,0,0,0,0,0,0,0,0,25,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,5,169,0,0,0	300	150
727	0,0,0,159,0,0,0,0,0,0,0,0,0	0,28,0,0,0,2,0,0,0,0,687,0,0	0,0,0,0,0,0,99,0,0,0	0,69,0,0,0,65,173,1,0,0	174	150
742	0,0,0,0,0,0,0,8,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,2,0,0,44,0	197	150
747	0,29,0,0,0,266,0,0,22,2,532,0,0	0,13,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,13,117,5,101,0	0,0,0,0,0,0,0,0,0,0	167	150
753	0,0,440,0,0,0,0,0,0,0,0,1,0	49,153,4,95,0,407,0,1,13,8,40,1,0	0,0,0,0,0,0,0,0,0,0	4,393,0,0,4,376,35,161,252,0	275	150
754	57,326,18,0,1,369,0,166,99,0,217,3,0	0,0,0,0,0,0,0,0,0,0,0,0,0	150,0,0,1,0,31,429,80,181,0	0,0,0,0,0,0,23,0,0,0	151	150
757	0,29,0,0,0,0,0,0,0,0,0,0,0	0,0,2,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,11,0,0,0,116	0,0,0,0,0,0,0,136,0,19	195	150
782	0,106,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,59,0,0	0,0,0,0,0,47,465,0,1,0	0,0,0,0,0,0,0,0,0,0	158	150
786	0,45,0,0,0,0,0,0,0,0,0,323,0	0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,29,0,36	0,0,0,0,0,0,52,0,0,0	182	150
788	0,0,0,0,0,41,0,0,0,0,0,0,0	0,0,0,0,0,98,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,223,0,0,0	182	150
799	0,292,0,0,0,0,0,2,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,112,0,0,0,0,102,0,83,0	0,0,0,0,1,0,0,0,0,0	158	150
802	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,408,0,0,0,0,0,0,0,0,0,0	0,558,0,0,0,0,0,5,0,0	0,0,0,0,0,0,0,0,0,0	180	150
811	0,0,0,0,0,0,0,0,1,0,0,0,0	0,57,0,0,0,0,0,0,0,0,0,0,0	326,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	171	150
816	0,0,0,0,0,0,0,0,34,1,6,0,0	0,0,0,0,0,0,0,0,0,0,0,128,0	0,0,0,0,0,3,33,0,260,100	52,0,0,0,18,0,13,0,0,0	161	150
837	0,0,0,0,0,0,0,15,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,17,0	153	150
