ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
154	0,0,159,0,0,0,0,0,0,0,191,0,0	0,109,0,0,0,0,0,0,0,0,0,7,0	2,0,0,0,0,0,206,0,0,0	0,0,0,0,0,0,0,2,0,0	300	300
157	0,0,0,0,0,0,0,654,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0	261	202
160	0,99,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,12,0,0	0,0,0,0,0,0,0,133,0,0	294	295
161	0,99,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,133,0,0	275	295
164	27,0,0,0,0,0,0,0,0,0,0,0,0	0,6,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,10,0,0,0,0	253	208
166	0,0,0,0,0,0,0,0,0,0,0,0,0	5,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,23,0,0,239,0	0,0,0,0,0,0,0,0,65,0	218	300
168	0,0,0,0,0,0,0,0,0,0,0,0,0	0,59,12,69,0,0,0,0,14,0,0,131,0	0,0,0,0,0,0,27,0,0,0	0,0,0,0,0,0,0,0,0,1	185	270
169	0,95,12,0,0,0,0,0,0,0,0,131,0	0,0,0,0,0,13,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,13,0,0,0,0	243	300
170	2,0,0,0,0,0,0,124,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0	1,0,0,0,0,0,0,0,0,0	300	300
180	0,56,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,78,0,0,0,0	185	268
184	78,0,0,0,0,0,0,0,0,0,0,0,0	0,58,176,0,8,0,0,0,0,0,231,2,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,19,0,0,0,0	272	300
189	14,0,0,0,0,0,0,73,0,50,0,29,0	0,36,0,0,0,0,0,0,0,0,0,21,0	244,0,0,0,0,35,39,0,0,0	345,0,0,0,0,0,0,0,0,0	285	240
190	0,0,0,0,0,0,0,0,0,0,0,0,0	0,61,0,0,0,0,0,0,5,0,200,141,0	0,0,0,0,0,13,0,0,0,0	0,662,0,0,0,53,1,0,248,0	278	278
208	0,39,0,0,1,9,0,0,0,0,0,0,0	0,165,0,0,0,7,0,0,0,0,0,0,0	1,0,0,0,0,12,67,0,0,0	0,0,0,0,0,64,206,0,0,0	300	293
210	0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0,15,0,0	0,189,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	240	237
217	4,0,0,0,0,0,0,0,0,0,52,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,6,0,0,0,204	0,0,0,0,0,42,235,0,5,0	239	300
225	0,87,0,0,1,0,0,0,2,0,0,0,558	0,62,0,0,0,36,0,0,35,0,0,0,0	0,0,0,0,0,0,0,4,0,0	0,0,0,0,0,0,0,0,0,24	274	273
229	0,2,0,0,0,0,0,0,19,0,0,0,0	0,29,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,66,0,0,0	0,0,0,0,0,0,0,0,0,0	234	300
258	0,31,0,0,0,0,0,0,0,0,0,0,0	10,59,0,91,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,10,20,0,0,0	211	268
260	0,112,0,0,0,0,0,0,29,0,1,0,0	0,1,0,0,0,0,0,0,25,0,0,0,0	318,0,0,0,0,0,0,176,31,0	0,0,0,0,0,2,151,0,241,0	300	300
267	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,165,0,0	0,0,0,0,0,3,6,0,0,0	0,0,0,0,0,0,0,0,0,0	300	269
268	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,20,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,0,0,0	0,0,0,0,0,147,0,0,0,0	182	268
