Sample	salmon_version	samp_type	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	num_targets	num_bootstraps	num_processed	num_mapped	percent_mapped	call	start_time
BSS_D02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	50188886	21785893	43.40780347266524	quant	Wed Mar  6 16:54:12 2019
BSS_D03_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	56504194	26336111	46.609126041157225	quant	Wed Mar  6 16:54:12 2019
BSS_D04_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	49888849	25120135	50.35220395643925	quant	Wed Mar  6 16:55:23 2019
BSS_D05_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	66366377	31048239	46.78308565796804	quant	Wed Mar  6 16:55:56 2019
BSS_D06_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	46888205	22196989	47.34024047199077	quant	Wed Mar  6 16:55:23 2019
BSS_E01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	55214167	27316922	49.474479982646486	quant	Wed Mar  6 16:52:36 2019
BSS_E02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	50231049	23770303	47.321932297292854	quant	Wed Mar  6 16:52:36 2019
BSS_E03_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	47194604	21373334	45.28766466607072	quant	Wed Mar  6 16:52:36 2019
BSS_E04_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	48824631	23277071	47.67485288316875	quant	Wed Mar  6 16:53:59 2019
BSS_E05_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	67449749	33832461	50.159506153240095	quant	Wed Mar  6 16:53:59 2019
BSS_E06_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	50972548	24070266	47.22201840881095	quant	Wed Mar  6 16:53:59 2019
BSS_F01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	43316157	15545283	35.88795515724075	quant	Wed Mar  6 17:03:44 2019
BSS_F02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	36418110	17787797	48.84327330550652	quant	Wed Mar  6 17:03:44 2019
BSS_F03_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	39862192	17919224	44.95293184077785	quant	Wed Mar  6 17:03:45 2019
BSS_F04_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	45461201	21825235	48.00848750124309	quant	Wed Mar  6 17:04:24 2019
BSS_F05_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	67846883	33463312	49.32181188043672	quant	Wed Mar  6 17:04:25 2019
BSS_F06_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	43400500	22012023	50.71836269167406	quant	Wed Mar  6 17:04:24 2019
BSS_G01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	53093667	23556255	44.36735364313789	quant	Wed Mar  6 17:03:35 2019
BSS_G02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	39454687	12695259	32.17680829656563	quant	Wed Mar  6 17:03:42 2019
BSS_G03_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	43253738	15382708	35.56388120721497	quant	Wed Mar  6 17:03:35 2019
BSS_G04_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	45751319	21689249	47.40682776817866	quant	Wed Mar  6 17:03:45 2019
BSS_G05_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	60002410	26304814	43.83959577623632	quant	Wed Mar  6 17:03:44 2019
BSS_G06_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	51841715	20173938	38.91448807200919	quant	Wed Mar  6 17:03:44 2019
BSS_H01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	36753854	17997619	48.9679776167147	quant	Wed Mar  6 17:03:35 2019
BSS_H02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	40830795	18408192	45.084089104804356	quant	Wed Mar  6 17:03:35 2019
BSS_H03_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	36163892	17497234	48.38316075050771	quant	Wed Mar  6 17:03:34 2019
BSS_H04_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	40803767	19016351	46.604400520177464	quant	Wed Mar  6 17:03:35 2019
BSS_H05_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	49301423	18108396	36.72996619184805	quant	Wed Mar  6 17:03:35 2019
BSS_H06_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	42854299	8091542	18.881517581234966	quant	Wed Mar  6 17:03:28 2019
