Sample	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP	PF_NOT_ALIGNED_BASES
BSS_A01	12805244544.0	8867775651.0	2718.0	1760610808.0	1675927396.0	4026287653.0	1404947470.0	0.0	18381618.0	500405.0	0.0	19.854	18.8991	45.4036	15.8433	38.7531	26.837	97.3498	0.417337	0.668546	0.875316	0.716341				3937468893.0
BSS_A02	14289822486.0	10409189026.0	7550.0	2198197701.0	2024440427.0	4357829609.0	1828714957.0	0.0	22465417.0	545158.0	9.999999999999999e-05	21.1179	19.4486	41.8652	17.5683	40.5664	29.549999999999997	97.6308	0.404196	0.642569	0.839403	0.742707				3880633460.0
BSS_A03	15116974514.0	11032813016.0	3624.0	2279420580.0	2059756242.0	4677012414.0	2016621200.0	0.0	22969527.0	576053.0	0.0	20.660400000000003	18.6694	42.3918	18.2784	39.3297	28.704	97.5535	0.414197	0.622415	0.848729	0.7195				4084161498.0
BSS_A04	12796917196.0	7933932258.0	5436.0	1515948303.0	1475830333.0	3100452580.0	1841696590.0	0.0	15456152.0	514401.0	9.999999999999999e-05	19.1071	18.6015	39.0784	23.2129	37.7086	23.378899999999998	96.7791	0.516521	0.570115	0.816015	0.726378				4862984938.0
BSS_A05	13664166670.0	9515269773.0	8154.0	490415830.0	651337540.0	4591627238.0	3781882431.0	0.0	5195829.0	1553466.0	9.999999999999999e-05	5.154	6.8452	48.2554	39.7454	11.9992	8.355799999999999	76.9833	0.533746	0.543331	0.754467	0.694495				4148896897.0
BSS_A06	12685079650.0	8100835794.0	9060.0	420085932.0	597779637.0	3727086056.0	3355876936.0	0.0	4483499.0	1172543.0	9.999999999999999e-05	5.1857	7.3792	46.008700000000005	41.4263	12.564900000000002	8.0241	79.2692	0.6717	0.469439	0.65569	0.702563				4584243856.0
BSS_A07	12399055148.0	9501699844.0	11476.0	1934160839.0	1712004502.0	4215405806.0	1640119327.0	0.0	19808621.0	456039.0	9.999999999999999e-05	20.3559	18.0179	44.364799999999995	17.2613	38.3738	29.4068	97.7496	0.399556	0.585118	0.87224	0.701365				2897355304.0
BSS_B01	12077495212.0	7258197158.0	10268.0	847957395.0	914987733.0	3204054514.0	2291189054.0	0.0	8747299.0	1019823.0	9.999999999999999e-05	11.6828	12.606300000000001	44.1439	31.566899999999997	24.288999999999998	14.596899999999998	89.5586	0.476671	0.600491	0.855234	0.696429				4819298054.0
BSS_B02	14151359412.0	9730455563.0	4530.0	2036428224.0	1900267166.0	3712455996.0	2081300832.0	0.0	20384849.0	619739.0	0.0	20.9284	19.5291	38.153	21.3896	40.4575	27.8185	97.0495	0.499623	0.606917	0.81876	0.735957				4420903849.0
BSS_B03	14477596422.0	7851961635.0	0.0	607343710.0	903439297.0	1745477844.0	4595700784.0	0.0	6141161.0	582187.0	0.0	7.7349	11.505899999999999	22.2298	58.52929999999999	19.2408	10.4353	91.3408	0.696408	0.511828	0.693705	0.729838				6625634787.0
BSS_B04	14556154474.0	9723727866.0	9362.0	2159954926.0	1939478398.0	4101195613.0	1523090967.0	0.0	21841813.0	575853.0	9.999999999999999e-05	22.2132	19.9458	42.1772	15.6637	42.1591	28.1629	97.4313	0.459616	0.596246	0.851282	0.659809				4832426608.0
BSS_B05	17475379792.0	12441393776.0	11476.0	2892484272.0	2629563635.0	4903106182.0	2016230479.0	0.0	28352582.0	795798.0	9.999999999999999e-05	23.2489	21.1356	39.4096	16.2058	44.384499999999996	31.599	97.26979999999999	0.457491	0.603552	0.822996	0.723508				5033986016.0
BSS_B06	19803972234.0	14588154995.0	10268.0	3033774629.0	2765493328.0	6498455343.0	2290423604.0	0.0	31033150.0	719503.0	9.999999999999999e-05	20.796200000000002	18.9571	44.5461	15.700600000000001	39.7533	29.283399999999997	97.734	0.431248	0.623904	0.834188	0.724409				5215817239.0
BSS_C01	15253137254.0	10612586126.0	6644.0	2350105957.0	2098746750.0	4381525640.0	1782202354.0	0.0	23814312.0	604120.0	9.999999999999999e-05	22.1445	19.776	41.2861	16.7933	41.9205	29.1668	97.526	0.40324	0.635209	0.869639	0.719152				4640551128.0
BSS_C02	16211621230.0	9120951412.0	3926.0	697371803.0	1036641868.0	2221048518.0	5165886029.0	0.0	7293297.0	707589.0	0.0	7.6457999999999995	11.3655	24.3511	56.6376	19.011300000000002	10.6961	91.1561	0.654116	0.465411	0.723157	0.650812				7090669818.0
BSS_C03	15285572658.0	9673774759.0	13590.0	1898309698.0	1731569999.0	4204204939.0	1839679756.0	0.0	19434438.0	595383.0	9.999999999999999e-05	19.6233	17.8996	43.4598	19.017200000000003	37.5229	23.7471	97.0275	0.544867	0.550534	0.83724	0.628861				5611797899.0
