ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
31	0,0,0,14,0,0,0,0,0,11,0,2,0,0,15,0,0,0,9,61,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0	0,0,0,0,0,0,0,0,51,0,0,0,0,7,0,1,0,0,0,2	0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	188	150
36	0,13,0,14,6,48,0,0,0,0,0,0,0,35,24,0,0,0,8,0,0,0,8,0	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,0,0,0,0,0,0,0,0,98,0,0,0,40,0,23,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	167	150
37	0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0	0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0	254	150
41	0,0,24,0,2,0,0,0,0,23,0,131,0,48,0,0,0,59,0,48,0,0,1,28	61,1,0,59,34,29,0,57,102,1,39,0,54,0,85,65,0,0,47,0,0,0,4,120	23,0,192,0,2,15,4,0,0,0,1,0,0,133,0,72,0,0,0,0	59,31,3,1,0,0,0,0,19,35,408,0,107,107,0,67,0,0,74,0	300	150
42	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	158,21,10,78,19,71,383,2,13,7,0,0,123,159,12,7,0,3,2,3,0,0,32,48	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	139,67,5,9,14,118,38,0,71,208,643,0,108,0,0,0,23,0,0,0	300	150
44	0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,10,0,54,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0	154	150
49	0,0,0,31,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0	0,86,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,2,0	0,16,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0	300	150
52	0,0,0,0,46,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7	0,0,0,0,8,0,0,0,0,51,85,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	263	150
53	0,0,0,0,46,0,0,0,0,14,0,0,0,48,0,0,0,0,0,0,0,0,2,11	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7	0,97,0,0,8,0,0,156,0,51,288,0,0,53,0,23,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	273	150
54	0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8	0,97,0,0,0,0,0,156,0,0,203,0,0,53,0,23,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	159	150
56	0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0	0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,50,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,2,19,0,0,0,0,17,27,42,0,0,0,0,0,0,0,0,0	269	150
57	79,0,0,19,31,40,0,146,12,26,0,0,48,1,13,46,169,0,2,0,0,0,1,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0	65,0,41,3,0,0,0,0,67,0,22,0,9,21,34,9,0,0,35,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150
