ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1250	162,48,79,81,27,80,0,169,20,8,33,0,78,19,52,0,0,1,19,0,0,2,4,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0	263,0,32,21,10,271,137,0,76,54,6,0,6,239,0,139,0,0,38,0	0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,49,0,0,0,0	300	300
1251	22,22,30,37,7,11,0,8,75,0,0,5,9,129,2,8,0,26,1,16,0,0,23,141	59,204,0,64,2,0,0,11,74,0,0,0,38,7,42,0,0,1,13,87,0,0,22,0	141,223,35,43,14,0,0,0,26,68,0,0,153,0,24,0,78,0,0,0	39,0,9,59,0,0,1,0,11,56,18,0,42,0,0,0,14,0,19,1	300	293
1252	0,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0	0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,136,72,0,0,0,8,0,4,43,0,25,0,0,0,0	300	300
1254	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	212	300
1255	0,26,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,8,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0	234	300
1256	0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	278	234
1257	0,0,0,13,0,0,0,69,75,0,0,0,0,39,21,0,0,0,7,0,0,0,0,45	48,0,0,9,13,0,0,94,18,0,0,0,18,0,0,0,27,0,0,16,138,0,15,0	0,0,0,0,0,0,0,0,39,0,0,0,12,0,0,0,0,0,0,0	16,10,137,29,4,0,0,0,0,0,0,0,40,31,0,17,0,0,0,0	225	278
1258	0,3,0,6,12,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0	7,0,3,6,6,0,0,0,9,0,17,0,2,0,0,0,0,0,0,0,0,0,1,0	71,48,0,24,0,0,0,12,0,8,10,0,0,22,0,17,20,0,23,0	34,8,4,53,12,44,16,12,6,3,0,0,6,0,0,0,5,0,0,0	300	300
1259	0,3,0,6,12,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0	14,0,66,0,16,0,0,0,0,5,0,0,6,28,0,0,31,0,0,0,11,70,0,0	71,48,0,24,0,0,0,12,0,8,10,0,0,0,0,0,20,0,23,0	5,77,0,0,19,10,5,0,5,0,152,0,0,0,0,0,0,0,0,0	300	249
1261	0,0,0,0,0,0,0,0,11,0,62,0,0,0,0,0,0,0,0,0,0,0,4,4	0,42,7,6,0,0,0,0,0,0,182,0,0,26,102,0,0,0,49,0,0,0,0,10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	157,0,97,0,0,36,6,0,54,0,0,0,0,0,0,0,0,0,0,0	300	300
