ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
54	0,52,20,22,0,0,1,230,21,15,411,0,4,106,39,8,0,0,5,100,64,0,14,27	0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,25,0,0,0,0,0	88,15,63,8,22,0,0,2,11,63,133,0,59,1,12,0,6,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1337	150
55	2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0	0,99,0,0,0,0,1,0,0,0,0,0,0,38,0,0,0,1,0,20,0,298,4,56	0,8,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0	0,0,1,71,12,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0	257	150
56	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0	0,0,0,0,77,0,0,44,52,0,3,0,0,97,0,2,0,0,0,0,0,0,5,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,111,4,20,0,0,0,0,0,0,116,0,0,0,0,0,0,0,5,0	254	150
57	0,0,0,3,0,0,0,0,0,0,0,0,0,0,111,0,2,0,43,0,0,0,5,7	0,11,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55	0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0	0,0,0,0,22,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0	295	150
58	0,0,0,0,46,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,18	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7	0,0,0,0,8,0,0,57,0,51,170,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	430	150
59	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8	0,0,0,0,0,0,0,57,0,0,85,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	316	150
60	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8	0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,97,0,0,0,0,0,99,0,0,118,0,0,53,0,23,0,0,0,0	306	150
61	0,0,0,18,31,0,0,0,2,10,6,350,0,118,40,0,0,4,12,0,0,0,1,4	11,0,24,49,50,80,0,324,82,0,41,0,10,34,67,0,40,0,22,20,0,1,16,36	0,1,33,0,6,0,0,0,0,86,1,0,1,21,0,9,0,0,0,0	63,0,49,79,20,1,0,23,17,71,207,0,94,0,0,0,0,1,41,0	1022	150
62	0,0,0,0,15,0,0,0,9,1,0,0,0,0,0,0,0,6,0,0,0,0,3,14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,15,0,0,0,0,0	0,0,0,0,8,0,0,0,0,0,163,0,0,0,0,0,0,0,6,0	0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0	1277	150
66	0,0,0,19,5,0,0,0,0,16,0,0,0,0,115,0,0,0,35,0,0,0,2,0	3,34,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,134,0,0,10,1	0,0,0,2,0,0,0,0,0,2,0,0,0,6,0,0,0,0,9,0	1,0,0,12,0,0,0,0,0,116,28,0,0,0,0,0,0,0,0,0	765	150
