ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
31	0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,31,0,39,23,61,0,131,43,10,0,0,0,6,0,0,0,12,0,158,0,0,2,0	9,0,0,0,0,0,0,0,16,49,73,0,0,0,0,0,0,0,0,0	71,5,1,1,8,0,0,9,67,31,88,0,106,18,1,7,0,0,0,0	300	150
33	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0	300	150
36	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,18,0,40,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,15,0	0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	18,0,0,0,15,0,0,0,0,1,38,0,26,0,0,0,0,478,0,0	300	150
37	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0	55,28,0,42,17,16,0,103,25,4,70,91,24,3,129,0,1,16,66,0,73,0,10,23	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	17,9,101,0,3,0,0,43,115,36,60,0,0,0,0,0,29,0,0,0	299	150
40	0,0,3,11,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	25,0,0,2,0,0,0,0,26,0,0,3,11,95,0,0,0,0,0,0,0,0,1,12	0,0,0,0,30,0,0,0,0,0,0,0,0,7,0,4,34,0,0,0	8,22,0,19,0,4,2,0,27,66,0,0,0,0,0,0,0,0,0,0	262	150
41	0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,52,4,17,66,0,0,0,0,0,4,0,0,67,0,0,2,35,0,1,0,15,0	3,0,0,0,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0	99,6,65,0,11,0,0,0,0,57,126,0,0,0,0,0,0,0,0,0	300	150
42	0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0	0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150
44	0,0,0,1,0,0,0,0,19,0,0,0,0,0,14,0,0,0,2,0,0,10,0,0	2,0,0,30,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0	0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	1,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	220	150
48	0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	249	150
49	0,0,2,0,0,0,0,0,0,12,0,0,0,21,0,0,0,6,0,76,0,0,0,0	0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0	0,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0	0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,53,0,0,0	233	150
50	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,8,40,0,0,0,0,0,0,0,0,0	300	150
54	0,2,0,2,0,0,0,134,13,0,0,0,0,0,0,4,0,0,0,0,0,0,2,14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,25,0,0,0,0,0	12,0,59,0,3,0,0,0,7,0,6,0,48,0,12,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150
55	2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0	0,99,0,0,0,0,1,0,0,0,0,0,0,38,0,0,0,1,0,20,0,298,4,56	0,8,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0	0,0,1,71,12,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0	256	150
56	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0	0,0,0,0,77,0,0,44,52,0,3,0,0,97,0,2,0,0,0,0,0,0,5,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,111,4,20,0,0,0,0,0,0,116,0,0,0,0,0,0,0,5,0	253	150
57	0,0,0,3,0,0,0,0,0,0,0,0,0,0,111,0,2,0,43,0,0,0,5,7	0,11,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55	0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0	0,0,0,0,22,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0	294	150
58	0,0,0,0,46,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,18	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7	0,0,0,0,8,0,0,57,0,51,170,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150
59	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8	0,0,0,0,0,0,0,57,0,0,85,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150
60	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8	0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,97,0,0,0,0,0,99,0,0,118,0,0,53,0,23,0,0,0,0	300	150
61	0,0,0,0,0,0,0,0,2,0,0,0,0,118,13,0,0,4,1,0,0,0,1,4	11,0,24,49,50,80,0,324,82,0,41,0,10,34,67,0,40,0,22,20,0,1,16,36	0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,0,0,0,0	63,0,49,79,20,1,0,23,17,71,207,0,94,0,0,0,0,1,41,0	300	150
